pg_id,title,author,year,fictionality,language,pages
52974,The British army from within / by E. Charles Vivian.,"Vivian, Evelyn Charles.",1914,0,eng,
14168,Widdershins / by Oliver Onions.,"Onions, Oliver.",1911,1,eng,315.0
45128,"The workes of William Shakespeare,: containing all his comedies, histories, and tragedies : truley set forth, according to their first original.","Shakespeare, William, 1564-1616.",1866,0,eng,
35232,A letter to American workingmen : from the Socialist Soviet Republic of Russia / by N. Lenin.,"Lenin, Vladimir Ilich, 1870-1924.",1918,0,eng,
26944,The magic soap bubble / by David Cory ; profusely illustrated by E.I. Jones and P.H. Webb.,"Cory, David Magie, b. 1872.",1922,1,eng,
43399,"Blackfeet tales of Glacier National Park, by James Willard Schultz ...","Schultz, James Willard, 1859-1947.",1916,0,eng,
25853,Selected letters of Charles Dickens / edited and arranged by David Paroissien.,"Dickens, Charles, 1812-1870.",1985,0,eng,377.0
18762,"The Works of Lord Byron. A new, revised and enlarged edition, with illustrations [including portraits].","Byron, George Gordon Byron, Baron, 1788-1824.",1898,0,eng,
1874,The railway children / E. Nesbit ; with illustrations by C.E. Brock.,"Nesbit, E. 1858-1924.",1993,1,eng,294.0
3852,"Secret memoirs of Madame la marquise de Montespan, written by herself.","Montespan, Madame de, 1641-1707.",1904,0,eng,
29033,Critical miscellanies. Vol. IV / by John Morley.,"Morley, John, 1838-1923.",1908,0,eng,341.0
6519,Love songs of Kabir / [translated by] G.N. Das ; foreword by K.S. Duggal.,"Kabir, active 15th century.",1992,0,eng,179.0
31952,Mémoirs du prince de Talleyrand / publiés avec une préface et des hotes par le duc de Broglie.,"Talleyrand-Périgord, Charles Maurice de, prince de Bénévent, 1754-1838.",1892,0,fre,
59633,History of the Harvard College Observatory during the period 1840-1890 / by Daniel W. Baker.,"Baker, Daniel W.",1890,0,eng,32.0
10094,"A soldier of Virginia; a tale of Colonel Washington and Braddock's defeat, by Burton Egbert Stevenson.","Stevenson, Burton Egbert, 1872-1962.",1922,1,eng,4.0
30598,The wisdom of Robert Louis Stevenson / collected and arranged from his writings.,"Stevenson, Robert Louis, 1850-1894.",1920,0,eng,274.0
4803,The rise of the Dutch Republic. A history.,"Motley, John Lothrop, 1814-1877.",1889,0,eng,
38623,"The story of Charles Strange, a novel. By Mrs. Henry Wood.","Wood, Henry, Mrs., 1814-1887.",1888,1,eng,
38982,"Dictatorship vs. democracy (Terrorism and communism) : a reply to Karl Kautsky / by Leon Trotsky ; with a preface by H. N. Brailsford, and foreword by Max Bedact.","Trotsky, Leon, 1879-1940.",1922,0,eng,191.0
34563,Sober by act of Parliament / by Fred A. McKenzie.,"McKenzie, Fred A. 1869-1931.",1991,0,eng,200.0
33350,"The Arts and crafts movement, by T. J. Cobden-Sanderson.","Cobden-Sanderson, T. J. 1840-1922.",1905,0,eng,
14645,Unleavened bread a novel,"Grant, Robert, 1852-1940.",1900,0,eng,3.0
73132,A spring-mass representation of a free-free nonuniform bar in response to longitudinal forces / Harold P. Frisch.,"Frisch, Harold P.",1964,0,eng,33.0
32698,Thoughts on the religious instruction of the negroes of this country. By Wm. S. Plumer.,"Plumer, William S. 1802-1880.",1848,0,eng,
4973,"Frederick Chopin, as a man and musician:","Niecks, Frederick, 1845-1924.",1902,0,eng,
861,"The dominion of the air; the story of aërial navigation, by the Rev. J. M. Bacon ... with twenty-four plates of illustrations from photographs.","Bacon, John Mackenzie, 1846-1904.",1902,0,eng,348.0
70034,The stainless steel rat wants you / Harry Harrison.,"Harrison, Harry.",1979,1,eng,182.0
62576,Tinta.,"Kosztolányi, Dezső, 1885-1936.",1916,0,hun,213.0
2440,The naturalist on the River Amazons.,"Bates, Henry Walter, 1825-1892.",1884,0,eng,394.0
37220,"Down the Yellowstone, by Lewis R. Freeman ...","Freeman, Lewis R. 1878-",1922,0,eng,12.0
25951,"Fragments from France, by Captain Bruce Bairnsfather ...","Bairnsfather, Bruce, 1887-",1917,0,eng,
21138,"Love's meinie : lectures on Greek and English birds, given before the University of Oxford / by John Ruskin.","Ruskin, John, 1819-1900.",1873,0,eng,74.0
53997,Hills of Han : a romantic incident / by Samuel Merwin; illustrated by Walt Louderback.,"Merwin, Samuel, 1874-1936.",1920,1,eng,5.0
42436,Amelia Calani ed altri scritti.,"Guerrazzi, Francesco Domenico, 1804-1873.",1883,0,ita,
21873,Planet of the damned / Harry Harrison.,"Harrison, Harry, 1925-",1962,1,eng,135.0
2081,The Blithedale romance.,"Hawthorne, Nathaniel, 1804-1864.",1902,1,eng,
63087,"Color standards and color nomenclature, by Robert Ridgway ... With fifty-three colored plates and eleven hundred and fifteen named colors.","Ridgway, Robert, 1850-1929.",1912,0,eng,2.0
73993,A farkas : vigjáték három felvonásban / írta Molnár Ferenc.,"Molnár, Ferenc, 1878-1952",1912,0,hun,184.0
21429,Portugal e ilhas adjacentes : exposição ethnographica Portugueza / por F. Adolpho Coelho.,"Coelho, F. Adolpho.",1896,0,por,
60550,The science of brickmaking : with some account of the structure and physical properties of bricks / by George F. Harris.,"Harris, George Frederick, 1862-1906.",1897,0,eng,160.0
61034,Douris and the painters of Greek vases / by Edmond Pottier ; translated by Bettina Kahnweiler ; with a preface by Jane Ellen Harrison.,"Pottier, Edmond, 1855-1934.",1916,0,eng,91.0
48777,Helmiä; valikoima novelleja. Suomentanut ja lyhyellä elämäkerralla varustanut Kasimir Leino.,"Mérimée, Prosper, 1803-1870.",1895,0,fin,
67140,"Légy jó mindhalálig : regény / Móricz Zsigmond ; [a borítót és az illusztrációkat Reich Károly, a Móricz-portrét Bozóky Mária rajzolta.","Móricz, Zsigmond, 1879-1942.",1959,1,hun,310.0
10333,"The European anarchy,","Dickinson, G. Lowes 1862-1932.",1916,0,eng,2.0
49385,The singing caravan : a Sufi tale / by Robert Vansittart.,"Vansittart, Robert Gilbert Vansittart, Baron, 1881-1957.",1919,0,eng,168.0
36503,A man's hearth / by Eleanor M. Ingram ; with illustrations in color by Edmund Frederick.,"Ingram, Eleanor M. 1886-1921.",1915,0,eng,313.0
74061,Au cœur de l'Auvergne.,"Ajalbert, Jean, 1863-1947.",1922,0,fre,288.0
21218,"Mayfair, Belgravia and Bayswater, by G. E. Mitton and others; ed. by Sir Walter Besant.","Mitton, G. E.",1903,0,eng,
66838,"Coasting Bohemia, by J. Comyns Carr.","Carr, J. Comyns 1849-1916.",1914,0,eng,280.0
52255,The Brownie Scouts in the circus / by Mildred A. Wirt.,"Wirt, Mildred A. 1905-2002.",1949,1,eng,212.0
61839,"The wreck of the Corsaire, by W. Clark Russell.","Russell, William Clark, 1844-1911.",1897,1,eng,
24459,The Lost Princess of OZ / by L. Frank Baum ; illustrated by John R. Neill.,"Baum, L. Frank 1856-1919.",1918,1,eng,312.0
25371,"Northern travel: summer and winter pictures. Sweden, Denmark, and Lapland, by Bayard Taylor.","Taylor, Bayard, 1825-1878.",1857,0,eng,436.0
45628,"A desperate game : a comic drama, in one act / by John Maddison Morton.","Morton, John Maddison, 1811-1891.",1853,0,eng,
52846,"Old friends at Cambridge and elsewhere, by J. Willis Clark.","Clark, John Willis, 1833-1910.",1900,0,eng,397.0
30870,Works of Robert Louis Stevenson.,"Stevenson, Robert Louis, 1850-1894.",1901,0,eng,
73384,"Les oiseaux bleus, par Jules Janin.","Janin, Jules Gabriel, 1804-1874.",1864,1,fre,364.0
38440,"A distributional study of the amphibians of the Isthmus of Tehuantepec, México.","Duellman, William Edward, 1930-",1960,0,eng,71.0
72255,The influence of Greek ideas and usages upon the Christian church. Ed. by A. M. Fairbairn.,"Hatch, Edwin, 1835-1889.",1904,0,eng,359.0
13926,History of Birmingham.,"Hutton, William, 1723-1815.",1839,0,eng,1.0
46988,Old Mother West Wind / by Thornton W. Burgess ; illustrated by George Kerr.,"Burgess, Thornton W. 1874-1965.",1910,1,eng,169.0
26457,"New observations on the natural history of bees, by Francis Huber. Tr. from the original.","Huber, François, 1750-1831.",1808,0,eng,314.0
43320,"The wonder book of light, by Edwin J. Houston ... with 115 illustrations.","Houston, Edwin J. 1847-1914.",1908,0,eng,8.0
23041,"The workes of William Shakespeare,: containing all his comedies, histories, and tragedies : truley set forth, according to their first original.","Shakespeare, William, 1564-1616.",1866,0,eng,
37411,A primer of Assyriology by A.H. Sayce.,"Sayce, A. H. 1845-1933.",1894,0,eng,127.0
1968,"The human comedy; being the best novels from the ""Comedie Humaine"". Illustrated with sixteen engravings on wood from the best French edition with an introduction descriptive of the author's stupendous and brilliant work by Julius Chambers.","Balzac, Honoré de, 1799-1850.",1893,0,eng,
66333,A monograph of the trilobites of North America: with coloured models of the species ... By Jacob Green ...,"Green, Jacob, 1790-1841.",1832,0,eng,
50311,"Mont Oriol, or, A romance of Auvergne / Guy de Maupassant.","Maupassant, Guy de, 1850-1893.",1903,1,eng,346.0
33775,Little robins learning to fly / by Mrs. Madeline Leslie.,"Leslie, Madeline, 1815-1893.",1860,0,eng,96.0
70857,"Accidents of an antiquary's life, by D. G. Hogarth; with forty illustrations from photographs taken by the author and his companions.","Hogarth, D. G. 1862-1927.",1910,0,eng,176.0
31629,Scotland Yard : the inside story.,"Firmin, Stanley.",1948,0,eng,185.0
12851,"Folk tales from the Russian / retold by Verra Xenophontovna, Kalamatiano De Blumenthal.","Xenophontovna, Verra.",1979,0,eng,151.0
5960,"Little Sister Snow, by Franics Little [pseud.] ... with illustrations by Genjiro Kataoka.","Little, Frances, 1863-1941.",1910,0,eng,5.0
70484,"Primitive culture : researches into the development of mythology, philosophy, religion, art, and custom / by Edward B. Tylor.","Tylor, Edward B. 1832-1917.",1871,0,eng,
56114,Kuwaelmia itä-suomalaisten wanhoista tawoista. Naimistawat.,"Häyhä, Johannes, 1839-1913.",1899,0,fin,225.0
21558,"Children of the New Forest, by Captain Marryat.","Marryat, Frederick, 1792-1848.",1907,1,eng,327.0
59489,"Memoirs of Sergeant Bourgogne (1812-1813) Authorized translation from the French original, with an introduction by the Hon. Sir John Fortescue; and illustrations from the drawings of Faber du Faur.","Bourgogne, Adrien-Jean-Baptiste-François, 1785-1867.",1929,0,eng,
32863,Cottage economy ... / by William Cobbett.,"Cobbett, William, 1763-1835.",1838,0,eng,12.0
71435,Tama / María Teresa Andruetto.,"Andruetto, María Teresa, 1954-",1993,1,spa,118.0
47135,"The American Jew as patriot, soldier and citizen, by Simon Wolf; ed. by Louis Edward Levy.","Wolf, Simon, 1836-1923.",1895,0,eng,576.0
